TEXT_BASE 0x0
main, 0x10948: lui	a5,0x75
____strtoll_l_internal, 0x150b2: bltu	a5,a2,0x151b0 <____strtoll_l_internal+298>
____strtoll_l_internal, 0x150b6: lbu	a1,0(s4)
____strtoll_l_internal, 0x150ba: ld	a4,104(a4)
____strtoll_l_internal, 0x150bc: lui	a3,0x2
____strtoll_l_internal, 0x150be: slli	a5,a1,0x1
____strtoll_l_internal, 0x150c2: add	a5,a5,a4
____strtoll_l_internal, 0x150c4: lhu	a5,0(a5)
____strtoll_l_internal, 0x150c8: mv	s1,s4
____strtoll_l_internal, 0x150ca: lui	a0,0x2
____strtoll_l_internal, 0x150cc: and	a5,a5,a3
____strtoll_l_internal, 0x150ce: beqz	a5,0x150e4 <____strtoll_l_internal+94>
____strtoll_l_internal, 0x150e4: beqz	a1,0x152f4 <____strtoll_l_internal+622>
____strtoll_l_internal, 0x150e8: li	a5,45
____strtoll_l_internal, 0x150ec: beq	a1,a5,0x15298 <____strtoll_l_internal+530>
____strtoll_l_internal, 0x150f0: addi	a5,a1,-43
____strtoll_l_internal, 0x150f4: seqz	a5,a5
____strtoll_l_internal, 0x150f8: slli	a5,a5,0x20
____strtoll_l_internal, 0x150fa: srli	a5,a5,0x20
____strtoll_l_internal, 0x150fc: li	s6,0
____strtoll_l_internal, 0x150fe: add	s1,s1,a5
____strtoll_l_internal, 0x15100: lbu	s0,0(s1)
____strtoll_l_internal, 0x15104: li	a5,48
____strtoll_l_internal, 0x15108: beq	s0,a5,0x151d6 <____strtoll_l_internal+336>
____strtoll_l_internal, 0x1510c: bnez	a2,0x151fa <____strtoll_l_internal+372>
____strtoll_l_internal, 0x151fa: li	a5,10
____strtoll_l_internal, 0x151fc: beq	a2,a5,0x1510e <____strtoll_l_internal+136>
____strtoll_l_internal, 0x1510e: bnez	s7,0x152fe <____strtoll_l_internal+632>
____strtoll_l_internal, 0x15112: li	t5,5
____strtoll_l_internal, 0x15114: auipc	a7,0x3e
____strtoll_l_internal, 0x15118: ld	a7,-660(a7)
____strtoll_l_internal, 0x1511c: li	a2,10
____strtoll_l_internal, 0x1511e: beqz	s0,0x153da <____strtoll_l_internal+852>
____strtoll_l_internal, 0x15122: auipc	a5,0x61
____strtoll_l_internal, 0x15126: addi	a5,a5,-722
____strtoll_l_internal, 0x1512a: ld	a0,120(a5)
____strtoll_l_internal, 0x1512c: li	t3,0
____strtoll_l_internal, 0x1512e: li	s2,0
____strtoll_l_internal, 0x15130: ld	t4,104(a5)
____strtoll_l_internal, 0x15134: mv	a4,s1
____strtoll_l_internal, 0x15136: li	a6,0
____strtoll_l_internal, 0x15138: li	a1,0
____strtoll_l_internal, 0x1513a: li	t1,9
____strtoll_l_internal, 0x1513c: addi	t6,s2,-1
____strtoll_l_internal, 0x15140: addiw	a5,s0,-48
____strtoll_l_internal, 0x15144: zext.b	a5,a5
____strtoll_l_internal, 0x15148: bgeu	t1,a5,0x1516e <____strtoll_l_internal+232>
____strtoll_l_internal, 0x1516e: bge	a5,a2,0x1524e <____strtoll_l_internal+456>
____strtoll_l_internal, 0x15172: bltu	a7,a6,0x15222 <____strtoll_l_internal+412>
____strtoll_l_internal, 0x15176: beq	a7,a6,0x1521e <____strtoll_l_internal+408>
____strtoll_l_internal, 0x1517a: mul	a6,a2,a6
____strtoll_l_internal, 0x1517e: add	a6,a6,a5
____strtoll_l_internal, 0x15180: lbu	s0,1(a4)
____strtoll_l_internal, 0x15184: addi	a4,a4,1
____strtoll_l_internal, 0x15186: beqz	s0,0x1524e <____strtoll_l_internal+456>
____strtoll_l_internal, 0x1524e: bne	s1,a4,0x1518c <____strtoll_l_internal+262>
____strtoll_l_internal, 0x1518c: beqz	s5,0x15194 <____strtoll_l_internal+270>
____strtoll_l_internal, 0x15194: beqz	a1,0x15282 <____strtoll_l_internal+508>
____strtoll_l_internal, 0x15282: li	a5,-1
____strtoll_l_internal, 0x15284: srli	a5,a5,0x1
____strtoll_l_internal, 0x15286: add	a5,a5,s6
____strtoll_l_internal, 0x15288: bltu	a5,a6,0x15196 <____strtoll_l_internal+272>
____strtoll_l_internal, 0x1528c: neg	a0,a6
____strtoll_l_internal, 0x15290: bnez	s6,0x151c0 <____strtoll_l_internal+314>
____strtoll_l_internal, 0x15294: mv	a0,a6
____strtoll_l_internal, 0x15296: j	0x151c0 <____strtoll_l_internal+314>
____strtoll_l_internal, 0x151c0: ld	ra,72(sp)
____strtoll_l_internal, 0x151c2: ld	s0,64(sp)
____strtoll_l_internal, 0x151c4: ld	s1,56(sp)
____strtoll_l_internal, 0x151c6: ld	s2,48(sp)
____strtoll_l_internal, 0x151c8: ld	s3,40(sp)
____strtoll_l_internal, 0x151ca: ld	s4,32(sp)
____strtoll_l_internal, 0x151cc: ld	s5,24(sp)
____strtoll_l_internal, 0x151ce: ld	s6,16(sp)
____strtoll_l_internal, 0x151d0: ld	s7,8(sp)
____strtoll_l_internal, 0x151d2: addi	sp,sp,80
____strtoll_l_internal, 0x151d4: ret
atoi, 0x147b2: ld	ra,8(sp)
atoi, 0x147b4: sext.w	a0,a0
atoi, 0x147b6: addi	sp,sp,16
atoi, 0x147b8: ret
main, 0x10abe: mv	a5,a0
main, 0x10ac0: mv	a3,a5
main, 0x10ac2: ld	a4,-112(s0)
main, 0x10ac6: slli	a5,s1,0x2
main, 0x10aca: add	a5,a5,a4
main, 0x10acc: sw	a3,0(a5)
main, 0x10ace: lui	a5,0x52
main, 0x10ad2: addi	a1,a5,640
main, 0x10ad6: li	a0,0
[CALL] main -> <strtok>
main, 0x10ad8: jal	ra,0x2533e <strtok>
strtok, 0x2533e: auipc	a2,0x58
strtok, 0x25342: addi	a2,a2,-142
strtok, 0x25346: j	0x25348 <strtok_r>
strtok_r, 0x25348: addi	sp,sp,-48
strtok_r, 0x2534a: sd	s0,32(sp)
strtok_r, 0x2534c: sd	s2,16(sp)
strtok_r, 0x2534e: sd	s3,8(sp)
strtok_r, 0x25350: sd	ra,40(sp)
strtok_r, 0x25352: sd	s1,24(sp)
strtok_r, 0x25354: mv	s2,a1
strtok_r, 0x25356: mv	s3,a2
strtok_r, 0x25358: mv	s0,a0
strtok_r, 0x2535a: beqz	a0,0x253a6 <strtok_r+94>
strtok_r, 0x253a6: ld	s0,0(a2)
strtok_r, 0x253a8: j	0x2535c <strtok_r+20>
strtok_r, 0x2535c: lbu	a5,0(s0)
strtok_r, 0x25360: beqz	a5,0x253a2 <strtok_r+90>
strtok_r, 0x25362: mv	a1,s2
strtok_r, 0x25364: mv	a0,s0
[CALL] strtok_r -> <strspn>
strtok_r, 0x25366: jal	ra,0x3eb1a <strspn>
strspn, 0x3eb1a: addi	sp,sp,-288
strspn, 0x3eb1c: sd	ra,280(sp)
strspn, 0x3eb1e: lbu	a5,0(a1)
strspn, 0x3eb22: auipc	a7,0x39
strspn, 0x3eb26: ld	a7,1198(a7)
strspn, 0x3eb2a: ld	a4,0(a7)
strspn, 0x3eb2e: sd	a4,264(sp)
strspn, 0x3eb30: li	a4,0
strspn, 0x3eb32: beqz	a5,0x3ec18 <strspn+254>
strspn, 0x3eb34: lbu	a3,1(a1)
strspn, 0x3eb38: mv	t1,a0
strspn, 0x3eb3a: beqz	a3,0x3ec32 <strspn+280>
strspn, 0x3ec32: lbu	a4,0(a0)
strspn, 0x3ec36: bne	a4,a5,0x3ec18 <strspn+254>
strspn, 0x3ec18: li	a0,0
strspn, 0x3ec1a: ld	a4,264(sp)
strspn, 0x3ec1c: ld	a5,0(a7)
strspn, 0x3ec20: xor	a5,a5,a4
strspn, 0x3ec22: li	a4,0
strspn, 0x3ec24: bnez	a5,0x3ec4c <strspn+306>
strspn, 0x3ec26: ld	ra,280(sp)
strspn, 0x3ec28: addi	sp,sp,288
strspn, 0x3ec2a: ret
strtok_r, 0x2536a: add	s1,s0,a0
strtok_r, 0x2536e: lbu	a5,0(s1)
strtok_r, 0x25372: beqz	a5,0x253a0 <strtok_r+88>
strtok_r, 0x25374: mv	a1,s2
strtok_r, 0x25376: mv	a0,s1
[CALL] strtok_r -> <strcspn>
strtok_r, 0x25378: jal	ra,0x24996 <strcspn>
strcspn, 0x24996: addi	sp,sp,-304
strcspn, 0x24998: sd	s0,288(sp)
strcspn, 0x2499a: sd	s1,280(sp)
strcspn, 0x2499c: sd	ra,296(sp)
strcspn, 0x2499e: lbu	a4,0(a1)
strcspn, 0x249a2: auipc	s0,0x53
strcspn, 0x249a6: ld	s0,1582(s0)
strcspn, 0x249aa: ld	a5,0(s0)
strcspn, 0x249ac: sd	a5,264(sp)
strcspn, 0x249ae: li	a5,0
strcspn, 0x249b0: mv	s1,a0
strcspn, 0x249b2: beqz	a4,0x24ab4 <strcspn+286>
strcspn, 0x249b6: lbu	a5,1(a1)
strcspn, 0x249ba: beqz	a5,0x24ab4 <strcspn+286>
strcspn, 0x24ab4: mv	a1,a4
strcspn, 0x24ab6: mv	a0,s1
[CALL] strcspn -> <strchrnul>
strcspn, 0x24ab8: jal	ra,0x25d30 <strchrnul>
strchrnul, 0x25d30: andi	a5,a0,7
strchrnul, 0x25d34: zext.b	a4,a1
strchrnul, 0x25d38: bnez	a5,0x25d46 <strchrnul+22>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d3e: addi	a0,a0,1
strchrnul, 0x25d40: andi	a5,a0,7
strchrnul, 0x25d44: beqz	a5,0x25d50 <strchrnul+32>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d3e: addi	a0,a0,1
strchrnul, 0x25d40: andi	a5,a0,7
strchrnul, 0x25d44: beqz	a5,0x25d50 <strchrnul+32>
strchrnul, 0x25d50: zext.b	a1,a1
strchrnul, 0x25d54: slli	a3,a1,0x8
strchrnul, 0x25d58: or	a3,a3,a1
strchrnul, 0x25d5a: slli	a5,a3,0x10
strchrnul, 0x25d5e: or	a5,a5,a3
strchrnul, 0x25d60: slli	a7,a5,0x20
strchrnul, 0x25d64: or	a7,a7,a5
strchrnul, 0x25d68: auipc	a1,0x30
strchrnul, 0x25d6c: ld	a1,88(a1)
strchrnul, 0x25d70: li	t1,-1
strchrnul, 0x25d72: ld	a2,0(a0)
strchrnul, 0x25d74: mv	t3,a0
strchrnul, 0x25d76: addi	a0,a0,8
strchrnul, 0x25d78: xor	a6,a7,a2
strchrnul, 0x25d7c: add	a5,a2,a1
strchrnul, 0x25d80: add	a3,a6,a1
strchrnul, 0x25d84: xor	a5,a5,a2
strchrnul, 0x25d86: xor	a3,a3,a6
strchrnul, 0x25d8a: and	a5,a5,a3
strchrnul, 0x25d8c: or	a5,a5,a1
strchrnul, 0x25d8e: beq	a5,t1,0x25d72 <strchrnul+66>
strchrnul, 0x25d92: lbu	a5,-8(a0)
strchrnul, 0x25d96: beq	a5,a4,0x25e02 <strchrnul+210>
strchrnul, 0x25e02: mv	a0,t3
strchrnul, 0x25e04: ret
strcspn, 0x24abc: sub	a0,a0,s1
strcspn, 0x24abe: j	0x24a98 <strcspn+258>
strcspn, 0x24a98: ld	a4,264(sp)
strcspn, 0x24a9a: ld	a5,0(s0)
strcspn, 0x24a9c: xor	a5,a5,a4
strcspn, 0x24a9e: li	a4,0
strcspn, 0x24aa0: bnez	a5,0x24ac0 <strcspn+298>
strcspn, 0x24aa2: ld	ra,296(sp)
strcspn, 0x24aa4: ld	s0,288(sp)
strcspn, 0x24aa6: ld	s1,280(sp)
strcspn, 0x24aa8: addi	sp,sp,304
strcspn, 0x24aaa: ret
strtok_r, 0x2537c: add	s0,s1,a0
strtok_r, 0x25380: lbu	a5,0(s0)
strtok_r, 0x25384: beqz	a5,0x2538c <strtok_r+68>
strtok_r, 0x25386: sb	zero,0(s0)
strtok_r, 0x2538a: addi	s0,s0,1
strtok_r, 0x2538c: sd	s0,0(s3)
strtok_r, 0x25390: ld	ra,40(sp)
strtok_r, 0x25392: ld	s0,32(sp)
strtok_r, 0x25394: ld	s2,16(sp)
strtok_r, 0x25396: ld	s3,8(sp)
strtok_r, 0x25398: mv	a0,s1
strtok_r, 0x2539a: ld	s1,24(sp)
strtok_r, 0x2539c: addi	sp,sp,48
strtok_r, 0x2539e: ret
main, 0x10adc: sd	a0,-136(s0)
main, 0x10ae0: ld	a5,-136(s0)
main, 0x10ae4: beqz	a5,0x10af8 <main+470>
main, 0x10ae6: lw	a5,-148(s0)
main, 0x10aea: mv	a4,a5
main, 0x10aec: lw	a5,-156(s0)
main, 0x10af0: sext.w	a4,a4
main, 0x10af2: sext.w	a5,a5
main, 0x10af4: blt	a4,a5,0x10a98 <main+374>
main, 0x10a98: ld	a5,-136(s0)
main, 0x10a9c: lbu	a5,0(a5)
main, 0x10aa0: mv	a4,a5
main, 0x10aa2: li	a5,32
main, 0x10aa6: beq	a4,a5,0x10a8e <main+364>
main, 0x10a8e: ld	a5,-136(s0)
main, 0x10a92: addi	a5,a5,1
main, 0x10a94: sd	a5,-136(s0)
main, 0x10a98: ld	a5,-136(s0)
main, 0x10a9c: lbu	a5,0(a5)
main, 0x10aa0: mv	a4,a5
main, 0x10aa2: li	a5,32
main, 0x10aa6: beq	a4,a5,0x10a8e <main+364>
main, 0x10aaa: lw	s1,-148(s0)
main, 0x10aae: addiw	a5,s1,1
main, 0x10ab2: sw	a5,-148(s0)
main, 0x10ab6: ld	a0,-136(s0)
[CALL] main -> <atoi>
main, 0x10aba: jal	ra,0x147a6 <atoi>
atoi, 0x147a6: addi	sp,sp,-16
atoi, 0x147a8: li	a2,10
atoi, 0x147aa: li	a1,0
atoi, 0x147ac: sd	ra,8(sp)
[CALL] atoi -> <strtoq>
atoi, 0x147ae: jal	ra,0x15058 <strtoq>
strtoq, 0x15058: auipc	a5,0x63
strtoq, 0x1505c: ld	a5,640(a5)
strtoq, 0x15060: li	a3,0
strtoq, 0x15062: add	a5,a5,tp
strtoq, 0x15064: ld	a4,0(a5)
strtoq, 0x15066: j	0x15086 <____strtoll_l_internal>
____strtoll_l_internal, 0x15086: addi	sp,sp,-80
____strtoll_l_internal, 0x15088: sd	s3,40(sp)
____strtoll_l_internal, 0x1508a: sd	s4,32(sp)
____strtoll_l_internal, 0x1508c: sd	s5,24(sp)
____strtoll_l_internal, 0x1508e: sd	s7,8(sp)
____strtoll_l_internal, 0x15090: sd	ra,72(sp)
____strtoll_l_internal, 0x15092: sd	s0,64(sp)
____strtoll_l_internal, 0x15094: sd	s1,56(sp)
____strtoll_l_internal, 0x15096: sd	s2,48(sp)
____strtoll_l_internal, 0x15098: sd	s6,16(sp)
____strtoll_l_internal, 0x1509a: ld	a5,8(a4)
____strtoll_l_internal, 0x1509c: mv	s4,a0
____strtoll_l_internal, 0x1509e: mv	s5,a1
____strtoll_l_internal, 0x150a0: li	s7,0
____strtoll_l_internal, 0x150a2: li	s3,0
____strtoll_l_internal, 0x150a4: bnez	a3,0x1529e <____strtoll_l_internal+536>
____strtoll_l_internal, 0x150a8: li	a5,1
____strtoll_l_internal, 0x150aa: beq	a2,a5,0x151b0 <____strtoll_l_internal+298>
____strtoll_l_internal, 0x150ae: li	a5,36
____strtoll_l_internal, 0x150b2: bltu	a5,a2,0x151b0 <____strtoll_l_internal+298>
____strtoll_l_internal, 0x150b6: lbu	a1,0(s4)
____strtoll_l_internal, 0x150ba: ld	a4,104(a4)
____strtoll_l_internal, 0x150bc: lui	a3,0x2
____strtoll_l_internal, 0x150be: slli	a5,a1,0x1
____strtoll_l_internal, 0x150c2: add	a5,a5,a4
____strtoll_l_internal, 0x150c4: lhu	a5,0(a5)
____strtoll_l_internal, 0x150c8: mv	s1,s4
____strtoll_l_internal, 0x150ca: lui	a0,0x2
____strtoll_l_internal, 0x150cc: and	a5,a5,a3
____strtoll_l_internal, 0x150ce: beqz	a5,0x150e4 <____strtoll_l_internal+94>
____strtoll_l_internal, 0x150e4: beqz	a1,0x152f4 <____strtoll_l_internal+622>
____strtoll_l_internal, 0x150e8: li	a5,45
____strtoll_l_internal, 0x150ec: beq	a1,a5,0x15298 <____strtoll_l_internal+530>
____strtoll_l_internal, 0x150f0: addi	a5,a1,-43
____strtoll_l_internal, 0x150f4: seqz	a5,a5
____strtoll_l_internal, 0x150f8: slli	a5,a5,0x20
____strtoll_l_internal, 0x150fa: srli	a5,a5,0x20
____strtoll_l_internal, 0x150fc: li	s6,0
____strtoll_l_internal, 0x150fe: add	s1,s1,a5
____strtoll_l_internal, 0x15100: lbu	s0,0(s1)
____strtoll_l_internal, 0x15104: li	a5,48
____strtoll_l_internal, 0x15108: beq	s0,a5,0x151d6 <____strtoll_l_internal+336>
____strtoll_l_internal, 0x151d6: andi	a5,a2,-17
____strtoll_l_internal, 0x151da: bnez	a5,0x151fa <____strtoll_l_internal+372>
____strtoll_l_internal, 0x151fa: li	a5,10
____strtoll_l_internal, 0x151fc: beq	a2,a5,0x1510e <____strtoll_l_internal+136>
____strtoll_l_internal, 0x1510e: bnez	s7,0x152fe <____strtoll_l_internal+632>
____strtoll_l_internal, 0x15112: li	t5,5
____strtoll_l_internal, 0x15114: auipc	a7,0x3e
____strtoll_l_internal, 0x15118: ld	a7,-660(a7)
____strtoll_l_internal, 0x1511c: li	a2,10
____strtoll_l_internal, 0x1511e: beqz	s0,0x153da <____strtoll_l_internal+852>
____strtoll_l_internal, 0x15122: auipc	a5,0x61
____strtoll_l_internal, 0x15126: addi	a5,a5,-722
____strtoll_l_internal, 0x1512a: ld	a0,120(a5)
____strtoll_l_internal, 0x1512c: li	t3,0
____strtoll_l_internal, 0x1512e: li	s2,0
____strtoll_l_internal, 0x15130: ld	t4,104(a5)
____strtoll_l_internal, 0x15134: mv	a4,s1
____strtoll_l_internal, 0x15136: li	a6,0
____strtoll_l_internal, 0x15138: li	a1,0
____strtoll_l_internal, 0x1513a: li	t1,9
____strtoll_l_internal, 0x1513c: addi	t6,s2,-1
____strtoll_l_internal, 0x15140: addiw	a5,s0,-48
____strtoll_l_internal, 0x15144: zext.b	a5,a5
____strtoll_l_internal, 0x15148: bgeu	t1,a5,0x1516e <____strtoll_l_internal+232>
____strtoll_l_internal, 0x1516e: bge	a5,a2,0x1524e <____strtoll_l_internal+456>
____strtoll_l_internal, 0x15172: bltu	a7,a6,0x15222 <____strtoll_l_internal+412>
____strtoll_l_internal, 0x15176: beq	a7,a6,0x1521e <____strtoll_l_internal+408>
____strtoll_l_internal, 0x1517a: mul	a6,a2,a6
____strtoll_l_internal, 0x1517e: add	a6,a6,a5
____strtoll_l_internal, 0x15180: lbu	s0,1(a4)
____strtoll_l_internal, 0x15184: addi	a4,a4,1
____strtoll_l_internal, 0x15186: beqz	s0,0x1524e <____strtoll_l_internal+456>
____strtoll_l_internal, 0x1524e: bne	s1,a4,0x1518c <____strtoll_l_internal+262>
____strtoll_l_internal, 0x1518c: beqz	s5,0x15194 <____strtoll_l_internal+270>
____strtoll_l_internal, 0x15194: beqz	a1,0x15282 <____strtoll_l_internal+508>
____strtoll_l_internal, 0x15282: li	a5,-1
____strtoll_l_internal, 0x15284: srli	a5,a5,0x1
____strtoll_l_internal, 0x15286: add	a5,a5,s6
____strtoll_l_internal, 0x15288: bltu	a5,a6,0x15196 <____strtoll_l_internal+272>
____strtoll_l_internal, 0x1528c: neg	a0,a6
____strtoll_l_internal, 0x15290: bnez	s6,0x151c0 <____strtoll_l_internal+314>
____strtoll_l_internal, 0x15294: mv	a0,a6
____strtoll_l_internal, 0x15296: j	0x151c0 <____strtoll_l_internal+314>
____strtoll_l_internal, 0x151c0: ld	ra,72(sp)
____strtoll_l_internal, 0x151c2: ld	s0,64(sp)
____strtoll_l_internal, 0x151c4: ld	s1,56(sp)
____strtoll_l_internal, 0x151c6: ld	s2,48(sp)
____strtoll_l_internal, 0x151c8: ld	s3,40(sp)
____strtoll_l_internal, 0x151ca: ld	s4,32(sp)
____strtoll_l_internal, 0x151cc: ld	s5,24(sp)
____strtoll_l_internal, 0x151ce: ld	s6,16(sp)
____strtoll_l_internal, 0x151d0: ld	s7,8(sp)
____strtoll_l_internal, 0x151d2: addi	sp,sp,80
____strtoll_l_internal, 0x151d4: ret
atoi, 0x147b2: ld	ra,8(sp)
atoi, 0x147b4: sext.w	a0,a0
atoi, 0x147b6: addi	sp,sp,16
atoi, 0x147b8: ret
main, 0x10abe: mv	a5,a0
main, 0x10ac0: mv	a3,a5
main, 0x10ac2: ld	a4,-112(s0)
main, 0x10ac6: slli	a5,s1,0x2
main, 0x10aca: add	a5,a5,a4
main, 0x10acc: sw	a3,0(a5)
main, 0x10ace: lui	a5,0x52
main, 0x10ad2: addi	a1,a5,640
main, 0x10ad6: li	a0,0
[CALL] main -> <strtok>
main, 0x10ad8: jal	ra,0x2533e <strtok>
strtok, 0x2533e: auipc	a2,0x58
strtok, 0x25342: addi	a2,a2,-142
strtok, 0x25346: j	0x25348 <strtok_r>
strtok_r, 0x25348: addi	sp,sp,-48
strtok_r, 0x2534a: sd	s0,32(sp)
strtok_r, 0x2534c: sd	s2,16(sp)
strtok_r, 0x2534e: sd	s3,8(sp)
strtok_r, 0x25350: sd	ra,40(sp)
strtok_r, 0x25352: sd	s1,24(sp)
strtok_r, 0x25354: mv	s2,a1
strtok_r, 0x25356: mv	s3,a2
strtok_r, 0x25358: mv	s0,a0
strtok_r, 0x2535a: beqz	a0,0x253a6 <strtok_r+94>
strtok_r, 0x253a6: ld	s0,0(a2)
strtok_r, 0x253a8: j	0x2535c <strtok_r+20>
strtok_r, 0x2535c: lbu	a5,0(s0)
strtok_r, 0x25360: beqz	a5,0x253a2 <strtok_r+90>
strtok_r, 0x25362: mv	a1,s2
strtok_r, 0x25364: mv	a0,s0
[CALL] strtok_r -> <strspn>
strtok_r, 0x25366: jal	ra,0x3eb1a <strspn>
strspn, 0x3eb1a: addi	sp,sp,-288
strspn, 0x3eb1c: sd	ra,280(sp)
strspn, 0x3eb1e: lbu	a5,0(a1)
strspn, 0x3eb22: auipc	a7,0x39
strspn, 0x3eb26: ld	a7,1198(a7)
strspn, 0x3eb2a: ld	a4,0(a7)
strspn, 0x3eb2e: sd	a4,264(sp)
strspn, 0x3eb30: li	a4,0
strspn, 0x3eb32: beqz	a5,0x3ec18 <strspn+254>
strspn, 0x3eb34: lbu	a3,1(a1)
strspn, 0x3eb38: mv	t1,a0
strspn, 0x3eb3a: beqz	a3,0x3ec32 <strspn+280>
strspn, 0x3ec32: lbu	a4,0(a0)
strspn, 0x3ec36: bne	a4,a5,0x3ec18 <strspn+254>
strspn, 0x3ec18: li	a0,0
strspn, 0x3ec1a: ld	a4,264(sp)
strspn, 0x3ec1c: ld	a5,0(a7)
strspn, 0x3ec20: xor	a5,a5,a4
strspn, 0x3ec22: li	a4,0
strspn, 0x3ec24: bnez	a5,0x3ec4c <strspn+306>
strspn, 0x3ec26: ld	ra,280(sp)
strspn, 0x3ec28: addi	sp,sp,288
strspn, 0x3ec2a: ret
strtok_r, 0x2536a: add	s1,s0,a0
strtok_r, 0x2536e: lbu	a5,0(s1)
strtok_r, 0x25372: beqz	a5,0x253a0 <strtok_r+88>
strtok_r, 0x25374: mv	a1,s2
strtok_r, 0x25376: mv	a0,s1
[CALL] strtok_r -> <strcspn>
strtok_r, 0x25378: jal	ra,0x24996 <strcspn>
strcspn, 0x24996: addi	sp,sp,-304
strcspn, 0x24998: sd	s0,288(sp)
strcspn, 0x2499a: sd	s1,280(sp)
strcspn, 0x2499c: sd	ra,296(sp)
strcspn, 0x2499e: lbu	a4,0(a1)
strcspn, 0x249a2: auipc	s0,0x53
strcspn, 0x249a6: ld	s0,1582(s0)
strcspn, 0x249aa: ld	a5,0(s0)
strcspn, 0x249ac: sd	a5,264(sp)
strcspn, 0x249ae: li	a5,0
strcspn, 0x249b0: mv	s1,a0
strcspn, 0x249b2: beqz	a4,0x24ab4 <strcspn+286>
strcspn, 0x249b6: lbu	a5,1(a1)
strcspn, 0x249ba: beqz	a5,0x24ab4 <strcspn+286>
strcspn, 0x24ab4: mv	a1,a4
strcspn, 0x24ab6: mv	a0,s1
[CALL] strcspn -> <strchrnul>
strcspn, 0x24ab8: jal	ra,0x25d30 <strchrnul>
strchrnul, 0x25d30: andi	a5,a0,7
strchrnul, 0x25d34: zext.b	a4,a1
strchrnul, 0x25d38: bnez	a5,0x25d46 <strchrnul+22>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d3e: addi	a0,a0,1
strchrnul, 0x25d40: andi	a5,a0,7
strchrnul, 0x25d44: beqz	a5,0x25d50 <strchrnul+32>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d3e: addi	a0,a0,1
strchrnul, 0x25d40: andi	a5,a0,7
strchrnul, 0x25d44: beqz	a5,0x25d50 <strchrnul+32>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d3e: addi	a0,a0,1
strchrnul, 0x25d40: andi	a5,a0,7
strchrnul, 0x25d44: beqz	a5,0x25d50 <strchrnul+32>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d3e: addi	a0,a0,1
strchrnul, 0x25d40: andi	a5,a0,7
strchrnul, 0x25d44: beqz	a5,0x25d50 <strchrnul+32>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d3e: addi	a0,a0,1
strchrnul, 0x25d40: andi	a5,a0,7
strchrnul, 0x25d44: beqz	a5,0x25d50 <strchrnul+32>
strchrnul, 0x25d46: lbu	a5,0(a0)
strchrnul, 0x25d4a: bne	a5,a4,0x25d3c <strchrnul+12>
strchrnul, 0x25d3c: beqz	a5,0x25d4e <strchrnul+30>
strchrnul, 0x25d4e: ret
strcspn, 0x24abc: sub	a0,a0,s1
strcspn, 0x24abe: j	0x24a98 <strcspn+258>
strcspn, 0x24a98: ld	a4,264(sp)
strcspn, 0x24a9a: ld	a5,0(s0)
strcspn, 0x24a9c: xor	a5,a5,a4
strcspn, 0x24a9e: li	a4,0
strcspn, 0x24aa0: bnez	a5,0x24ac0 <strcspn+298>
strcspn, 0x24aa2: ld	ra,296(sp)
strcspn, 0x24aa4: ld	s0,288(sp)
strcspn, 0x24aa6: ld	s1,280(sp)
strcspn, 0x24aa8: addi	sp,sp,304
strcspn, 0x24aaa: ret
strtok_r, 0x2537c: add	s0,s1,a0
strtok_r, 0x25380: lbu	a5,0(s0)
strtok_r, 0x25384: beqz	a5,0x2538c <strtok_r+68>
strtok_r, 0x2538c: sd	s0,0(s3)
strtok_r, 0x25390: ld	ra,40(sp)
strtok_r, 0x25392: ld	s0,32(sp)
strtok_r, 0x25394: ld	s2,16(sp)
strtok_r, 0x25396: ld	s3,8(sp)
strtok_r, 0x25398: mv	a0,s1
strtok_r, 0x2539a: ld	s1,24(sp)
strtok_r, 0x2539c: addi	sp,sp,48
